ID,district,District.1,District.2,District.3,District.4,District.5,District.6,District.7,District.8,Iowa,South.Dakota,Wyoming,Colorado,Kansas,Missouri
1,District.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,District.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,District.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,District.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,District.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,District.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,District.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,District.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,Iowa,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,South.Dakota,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,Wyoming,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,Colorado,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,Kansas,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,Missouri,0,0,0,0,0,0,0,0,0,0,0,0,0,1
