AXIS,CHART,QUANTITY,DATA1
travel_options,lowinc,439315
auto_ownership,lowinc,23673
travel_time,lowinc,2228593
trk_travel_time_benefit,lowinc,90893
travel_time_reliability,lowinc,211301
travel_options,minority,260410
auto_ownership,minority,11425
travel_time,minority,1905608
trk_travel_time_benefit,minority,63195
travel_time_reliability,minority,195713
travel_options,LEP,23702
auto_ownership,LEP,1605
travel_time,LEP,340264
trk_travel_time_benefit,LEP,12241
travel_time_reliability,LEP,34327
travel_options,age18or65,811705
auto_ownership,age18or66,21662
travel_time,age18or67,6284961
trk_travel_time_benefit,age18or68,179498
travel_time_reliability,age18or69,694512
travel_options,REGION,1341830
auto_ownership,REGION,69831
travel_time,REGION,12462517
trk_travel_time_benefit,REGION,834686
travel_time_reliability,REGION,1313755
public_health,REGION,"-1,500,000"
auto_operating_cost,REGION,"-6,887,689"
emissions,REGION,"-2,181,843"
noise_pollution,REGION,"-365,282"
surface_water_pollution,REGION,"-398,267"
safety,REGION,"809,272"
