TRIPS BY MODE,NEST_MODE,SIMPLE_MODE,QUANTITY
AUTO           ,DRIVEALONE     ,DRIVEALONEFREE ,4856973
AUTO           ,DRIVEALONE     ,DRIVEALONEPAY  ,361368
AUTO           ,SHARED2        ,SHARED2FREE    ,2480412
AUTO           ,SHARED2        ,SHARED2PAY     ,21782
AUTO           ,SHARED3        ,SHARED3FREE    ,1639498
AUTO           ,SHARED3        ,SHARED3PAY     ,621
NONMOTORIZED   ,BIKE           ,BIKE           ,138799
NONMOTORIZED   ,WALK           ,WALK           ,1460397
SCHOOL_BUS     ,SCHOOL_BUS     ,SCHOOL_BUS     ,209772
TRANSIT        ,KNR            ,KNR_LOCAL      ,2468
TRANSIT        ,KNR            ,KNR_PRMTRN     ,17310
TRANSIT        ,PNR            ,PNR_LOCAL      ,1113
TRANSIT        ,PNR            ,PNR_PRMTRN     ,22643
TRANSIT        ,WALK_TRANSIT   ,WALK_LOCAL     ,86481
TRANSIT        ,WALK_TRANSIT   ,WALK_PRMTRN    ,334583
